iter	Passed	Remaining
0	1	126
1	2	106
2	2	95
3	3	87
4	4	84
5	5	84
6	6	82
7	7	83
8	8	83
9	8	80
10	9	79
11	10	78
12	11	76
13	12	75
14	13	74
15	13	72
16	14	71
17	15	70
18	16	68
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	59
30	26	58
31	27	58
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	34
58	48	33
59	49	33
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	63	18
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
