iter	Passed	Remaining
0	140	140353
1	141	70744
2	142	47499
3	144	35883
4	145	28958
5	146	24243
6	147	20879
7	148	18378
8	149	16462
9	151	14959
10	152	13700
11	153	12635
12	154	11721
13	155	10933
14	156	10252
15	157	9669
16	158	9140
17	158	8673
18	160	8261
19	160	7880
20	161	7542
21	162	7231
22	163	6947
23	164	6690
24	165	6452
25	166	6231
26	167	6027
27	168	5833
28	169	5659
29	169	5492
30	170	5341
31	172	5204
32	173	5074
33	174	4950
34	175	4828
35	176	4714
36	176	4604
37	177	4501
38	178	4405
39	180	4324
40	181	4237
41	182	4154
42	183	4073
43	183	3996
44	184	3922
45	185	3849
46	186	3789
47	187	3722
48	188	3657
49	189	3600
50	190	3542
51	191	3485
52	193	3448
53	194	3401
54	194	3349
55	195	3298
56	196	3251
57	197	3205
58	198	3160
59	198	3117
60	199	3074
61	200	3033
62	201	2996
63	202	2958
64	203	2920
65	203	2883
66	204	2848
67	205	2814
68	206	2783
69	207	2752
70	208	2722
71	209	2693
72	209	2664
73	210	2635
74	211	2609
75	212	2582
76	213	2554
77	213	2527
78	214	2501
79	215	2476
80	216	2451
81	216	2427
82	217	2401
83	218	2378
84	218	2357
85	219	2335
86	220	2315
87	221	2294
88	222	2273
89	223	2256
90	224	2239
91	225	2220
92	225	2203
93	226	2186
94	227	2171
95	228	2154
96	230	2141
97	231	2126
98	232	2111
99	232	2095
100	233	2079
101	234	2064
102	235	2049
103	236	2035
104	237	2020
105	237	2006
106	238	1993
107	239	1979
108	240	1966
109	241	1953
110	242	1941
111	243	1934
112	244	1922
113	245	1909
114	246	1897
115	247	1886
116	248	1872
117	248	1860
118	249	1850
119	250	1839
120	251	1829
121	252	1817
122	253	1806
123	254	1794
124	254	1783
125	255	1775
126	256	1763
127	257	1753
128	258	1744
129	259	1735
130	260	1727
131	261	1718
132	262	1710
133	263	1701
134	264	1693
135	265	1684
136	265	1675
137	266	1666
138	267	1657
139	268	1650
140	269	1641
141	270	1631
142	271	1624
143	271	1615
144	272	1607
145	273	1599
146	274	1591
147	275	1584
148	276	1577
149	277	1569
150	277	1561
151	278	1554
152	279	1546
153	280	1539
154	281	1532
155	281	1524
156	282	1517
157	283	1510
158	284	1503
159	285	1497
160	285	1489
161	286	1482
162	287	1475
163	288	1468
164	289	1462
165	289	1456
166	290	1450
167	291	1444
168	292	1437
169	293	1431
170	294	1425
171	294	1419
172	295	1413
173	296	1407
174	297	1401
175	298	1395
176	298	1389
177	299	1384
178	300	1378
179	301	1373
180	302	1367
181	303	1363
182	304	1357
183	304	1352
184	305	1346
185	306	1341
186	307	1336
187	308	1331
188	309	1326
189	309	1320
190	310	1315
191	311	1311
192	312	1306
193	313	1302
194	314	1298
195	315	1293
196	315	1288
197	316	1283
198	317	1278
199	318	1273
200	319	1268
201	319	1263
202	320	1259
203	321	1254
204	322	1249
205	323	1245
206	323	1240
207	324	1236
208	325	1231
209	326	1226
210	327	1222
211	327	1218
212	328	1214
213	329	1210
214	330	1206
215	331	1202
216	332	1198
217	333	1195
218	334	1191
219	334	1187
220	335	1183
221	336	1179
222	337	1175
223	338	1171
224	338	1167
225	339	1163
226	340	1160
227	341	1156
228	342	1152
229	343	1148
230	343	1144
231	344	1140
232	345	1136
233	346	1132
234	346	1129
235	347	1125
236	348	1122
237	349	1118
238	350	1115
239	351	1111
240	351	1108
241	352	1105
242	353	1101
243	354	1098
244	355	1095
245	356	1091
246	357	1088
247	357	1085
248	358	1082
249	359	1079
250	360	1075
251	361	1072
252	362	1069
253	363	1067
254	364	1064
255	365	1061
256	366	1059
257	367	1055
258	367	1052
259	368	1049
260	369	1046
261	370	1043
262	371	1040
263	372	1037
264	373	1035
265	374	1032
266	374	1029
267	375	1026
268	376	1023
269	377	1020
270	378	1018
271	379	1015
272	380	1012
273	380	1009
274	381	1006
275	382	1003
276	383	1001
277	384	999
278	385	996
279	386	993
280	387	990
281	387	987
282	388	984
283	389	981
284	390	978
285	390	976
286	391	973
287	392	970
288	393	967
289	394	964
290	395	962
291	395	959
292	396	957
293	397	954
294	398	951
295	399	949
296	399	946
297	401	944
298	401	942
299	402	939
300	403	936
301	404	934
302	405	932
303	406	930
304	407	928
305	408	925
306	408	923
307	409	920
308	410	918
309	411	915
310	412	913
311	413	910
312	413	908
313	414	905
314	415	903
315	416	900
316	416	898
317	417	896
318	418	893
319	419	892
320	420	890
321	422	888
322	423	886
323	424	884
324	424	882
325	425	880
326	426	878
327	427	875
328	428	873
329	429	871
330	430	869
331	430	866
332	431	864
333	432	862
334	433	860
335	434	858
336	435	856
337	436	853
338	436	852
339	437	849
340	438	847
341	439	845
342	440	843
343	441	841
344	442	839
345	443	837
346	444	835
347	444	833
348	445	831
349	446	829
350	447	826
351	448	824
352	449	822
353	449	820
354	451	819
355	452	818
356	453	816
357	454	814
358	455	812
359	456	810
360	456	808
361	457	806
362	458	804
363	459	802
364	460	800
365	461	799
366	462	797
367	463	795
368	464	793
369	465	791
370	466	790
371	466	788
372	467	786
373	468	784
374	469	782
375	470	780
376	470	778
377	471	776
378	472	774
379	473	772
380	474	770
381	475	768
382	476	766
383	476	764
384	477	762
385	478	761
386	479	759
387	480	757
388	481	755
389	482	753
390	482	752
391	483	750
392	484	748
393	485	746
394	486	744
395	487	743
396	488	741
397	489	739
398	490	738
399	490	736
400	491	734
401	492	732
402	493	730
403	494	728
404	494	727
405	495	725
406	496	723
407	497	721
408	498	720
409	499	718
410	500	717
411	501	715
412	502	714
413	503	712
414	504	710
415	504	708
416	505	706
417	506	705
418	507	704
419	508	702
420	509	700
421	510	698
422	511	697
423	512	695
424	512	693
425	513	692
426	514	690
427	515	688
428	516	687
429	517	685
430	518	684
431	519	682
432	520	681
433	521	679
434	521	677
435	522	676
436	523	674
437	524	673
438	525	671
439	526	670
440	527	668
441	528	667
442	529	665
443	530	663
444	530	662
445	531	660
446	532	659
447	533	657
448	534	656
449	535	654
450	536	652
451	537	651
452	537	649
453	538	648
454	539	646
455	540	645
456	541	643
457	542	642
458	543	640
459	544	638
460	544	637
461	545	635
462	546	633
463	547	632
464	548	630
465	549	629
466	549	627
467	550	625
468	551	624
469	552	622
470	553	621
471	554	619
472	555	618
473	556	617
474	558	617
475	559	616
476	561	615
477	562	614
478	563	612
479	563	610
480	564	609
481	565	607
482	566	606
483	567	604
484	568	603
485	569	602
486	570	601
487	571	599
488	572	598
489	573	596
490	574	595
491	575	593
492	575	592
493	576	590
494	577	589
495	578	587
496	579	586
497	580	584
498	580	583
499	581	581
500	582	579
501	583	578
502	583	576
503	584	575
504	585	573
505	586	572
506	587	571
507	588	569
508	588	568
509	589	566
510	590	565
511	591	563
512	592	562
513	593	561
514	594	559
515	594	558
516	595	556
517	596	555
518	597	553
519	598	552
520	599	550
521	599	549
522	600	547
523	601	546
524	602	544
525	603	543
526	604	542
527	604	540
528	605	539
529	606	537
530	607	536
531	608	535
532	609	533
533	609	532
534	610	530
535	611	529
536	612	527
537	613	526
538	613	525
539	614	523
540	615	522
541	616	520
542	617	519
543	618	518
544	618	516
545	619	515
546	620	513
547	621	512
548	622	511
549	623	509
550	623	508
551	624	507
552	625	505
553	626	504
554	627	503
555	628	501
556	629	500
557	629	498
558	630	497
559	631	496
560	632	494
561	633	493
562	633	491
563	634	490
564	635	489
565	636	487
566	636	486
567	637	484
568	638	483
569	639	482
570	639	480
571	640	479
572	641	477
573	642	476
574	643	475
575	644	474
576	645	472
577	646	471
578	646	470
579	647	469
580	648	467
581	649	466
582	650	465
583	651	463
584	652	462
585	653	461
586	653	460
587	655	459
588	656	457
589	657	456
590	658	455
591	658	454
592	659	452
593	660	451
594	661	450
595	662	448
596	663	447
597	663	446
598	664	445
599	665	443
600	666	442
601	667	441
602	668	439
603	668	438
604	669	437
605	670	435
606	671	434
607	672	433
608	673	432
609	673	430
610	674	429
611	675	428
612	676	427
613	677	425
614	678	424
615	679	423
616	679	422
617	681	421
618	681	419
619	682	418
620	683	417
621	684	416
622	685	414
623	686	413
624	687	412
625	688	411
626	689	410
627	690	408
628	691	407
629	692	406
630	692	405
631	693	403
632	694	402
633	695	401
634	696	400
635	697	399
636	697	397
637	698	396
638	699	395
639	700	394
640	701	392
641	702	391
642	703	390
643	704	389
644	705	388
645	705	386
646	706	385
647	707	384
648	708	383
649	709	382
650	710	380
651	711	379
652	712	378
653	713	377
654	713	376
655	714	374
656	715	373
657	716	372
658	717	371
659	717	369
660	718	368
661	719	367
662	720	366
663	721	365
664	722	363
665	723	362
666	724	361
667	724	360
668	725	359
669	726	357
670	727	356
671	728	355
672	729	354
673	729	353
674	730	351
675	731	350
676	732	349
677	733	348
678	734	347
679	735	346
680	736	345
681	737	343
682	738	342
683	739	341
684	740	340
685	741	339
686	741	338
687	742	336
688	743	335
689	744	334
690	745	333
691	746	332
692	747	331
693	748	329
694	749	328
695	749	327
696	750	326
697	751	325
698	752	324
699	753	322
700	754	321
701	754	320
702	755	319
703	756	318
704	757	316
705	758	315
706	758	314
707	759	313
708	760	312
709	761	311
710	762	309
711	763	308
712	764	307
713	765	306
714	765	305
715	766	304
716	767	302
717	768	301
718	769	300
719	769	299
720	770	298
721	771	297
722	772	295
723	773	294
724	774	293
725	775	292
726	776	291
727	777	290
728	777	289
729	778	287
730	779	286
731	780	285
732	781	284
733	781	283
734	782	282
735	783	281
736	784	279
737	785	278
738	786	277
739	786	276
740	787	275
741	788	274
742	789	273
743	790	271
744	791	270
745	792	269
746	792	268
747	793	267
748	794	266
749	795	265
750	796	264
751	797	262
752	797	261
753	798	260
754	799	259
755	800	258
756	801	257
757	801	256
758	802	254
759	803	253
760	804	252
761	805	251
762	806	250
763	807	249
764	808	248
765	808	247
766	809	246
767	810	244
768	811	243
769	812	242
770	812	241
771	813	240
772	814	239
773	814	237
774	815	236
775	816	235
776	817	234
777	818	233
778	819	232
779	819	231
780	820	230
781	821	228
782	822	227
783	823	226
784	823	225
785	824	224
786	825	223
787	826	222
788	827	221
789	828	220
790	828	219
791	829	217
792	830	216
793	831	215
794	831	214
795	832	213
796	833	212
797	834	211
798	835	210
799	836	209
800	837	208
801	838	207
802	839	205
803	840	204
804	840	203
805	841	202
806	842	201
807	843	200
808	844	199
809	844	198
810	845	197
811	846	195
812	847	194
813	848	193
814	848	192
815	849	191
816	850	190
817	851	189
818	852	188
819	852	187
820	853	186
821	854	185
822	855	183
823	856	182
824	857	181
825	857	180
826	858	179
827	859	178
828	860	177
829	861	176
830	862	175
831	863	174
832	864	173
833	865	172
834	866	171
835	867	170
836	868	169
837	869	168
838	870	166
839	870	165
840	871	164
841	872	163
842	873	162
843	874	161
844	875	160
845	875	159
846	876	158
847	877	157
848	878	156
849	878	155
850	879	154
851	880	153
852	881	151
853	882	150
854	883	149
855	884	148
856	885	147
857	885	146
858	886	145
859	887	144
860	888	143
861	888	142
862	889	141
863	890	140
864	891	139
865	892	138
866	892	136
867	893	135
868	894	134
869	895	133
870	896	132
871	897	131
872	897	130
873	898	129
874	899	128
875	900	127
876	901	126
877	901	125
878	902	124
879	903	123
880	904	122
881	905	121
882	906	120
883	906	119
884	907	117
885	908	116
886	909	115
887	910	114
888	910	113
889	911	112
890	912	111
891	913	110
892	914	109
893	914	108
894	915	107
895	916	106
896	917	105
897	917	104
898	918	103
899	919	102
900	920	101
901	921	100
902	922	99
903	923	98
904	923	96
905	924	95
906	925	94
907	926	93
908	927	92
909	928	91
910	929	90
911	929	89
912	930	88
913	931	87
914	932	86
915	933	85
916	934	84
917	934	83
918	935	82
919	936	81
920	937	80
921	938	79
922	938	78
923	939	77
924	940	76
925	941	75
926	942	74
927	942	73
928	943	72
929	944	71
930	945	70
931	946	69
932	946	68
933	947	66
934	948	65
935	949	64
936	949	63
937	950	62
938	951	61
939	952	60
940	953	59
941	953	58
942	954	57
943	955	56
944	956	55
945	957	54
946	957	53
947	958	52
948	959	51
949	960	50
950	961	49
951	962	48
952	963	47
953	963	46
954	964	45
955	965	44
956	966	43
957	966	42
958	967	41
959	968	40
960	968	39
961	969	38
962	970	37
963	971	36
964	972	35
965	973	34
966	973	33
967	974	32
968	975	31
969	976	30
970	976	29
971	977	28
972	978	27
973	979	26
974	980	25
975	981	24
976	982	23
977	983	22
978	983	21
979	984	20
980	985	19
981	986	18
982	987	17
983	987	16
984	988	15
985	989	14
986	990	13
987	991	12
988	992	11
989	993	10
990	994	9
991	994	8
992	995	7
993	996	6
994	997	5
995	998	4
996	999	3
997	1000	2
998	1000	1
999	1001	0
